Area_Code;Cogs;Difference_Between_Actual_And_Target_Profit;Date;Inventory_Margin;Margin;Market_size;Market;Marketing;Product_line;Product_type;Product;Profit;Sales;State;Target_cogs;Target_margin;Target_profit;Target_sales;Total_expenses;Type;Profit_status;Duplicate_check;Countblank;Derived_gap;Sales_status;Profit_status_vs_Target;Sum_of_sales;Sum_of_profits
303;51;-35;10/1/2012;503;71;Major Market;Central;46;Leaves;Herbal Tea;Lemon;-5;122;Colorado;30;60;30;90;76;Decaf;Loss;1;0;-35;Met;Missed;202895;64311
970;52;-24;10/1/2013;405;71;Major Market;Central;17;Leaves;Herbal Tea;Mint;26;123;Colorado;30;60;50;90;45;Decaf;Profit;;0;-24;Met;Missed;202895;64311
409;43;-22;10/1/2014;419;64;Major Market;South;13;Leaves;Herbal Tea;Lemon;28;107;Texas;30;60;50;90;36;Decaf;Profit;;0;-22;Met;Missed;202895;64311
850;38;-15;10/1/2015;871;56;Major Market;East;10;Leaves;Tea;Darjeeling;35;94;Florida;40;60;50;100;21;Regular;Profit;;0;-15;Met;Missed;202895;64311
562;72;6;10/1/2016;650;110;Major Market;West;23;Leaves;Tea;Green Tea;56;182;California;20;60;50;80;54;Regular;Profit;;;6;Met;Met;202895;64311
712;0;-29;10/1/2017;430;43;Small Market;Central;0;Beans;Espresso;Decaf Espresso;31;43;Iowa;0;60;60;60;12;Decaf;Profit;;;-29;Missed;Missed;202895;64311
860;47;-29;10/1/2018;375;64;Small Market;East;15;Beans;Espresso;Decaf Espresso;21;111;Connecticut;30;60;50;90;43;Decaf;Profit;;;-29;Met;Missed;202895;64311
918;27;-39;10/1/2019;859;39;Small Market;South;7;Beans;Coffee;Decaf Irish Cream;21;66;Oklahoma;30;60;60;90;18;Decaf;Profit;;;-39;Met;Missed;202895;64311
775;31;-43;10/1/2020;1000;37;Small Market;West;9;Beans;Coffee;Decaf Irish Cream;7;68;Nevada;30;60;50;90;30;Decaf;Profit;;;-43;Met;Missed;202895;64311
435;40;-23;10/1/2021;881;59;Small Market;West;11;Beans;Espresso;Decaf Espresso;37;99;Utah;20;60;60;80;22;Decaf;Profit;;;-23;Met;Missed;202895;64311
603;49;-27;10/1/2022;310;71;Small Market;East;15;Beans;Coffee;Amaretto;33;120;New Hampshire;30;60;60;90;38;Regular;Profit;;;-27;Met;Missed;202895;64311
603;45;-26;10/1/2023;447;69;Small Market;East;14;Beans;Coffee;Colombian;24;114;New Hampshire;30;60;50;90;45;Regular;Profit;;;-26;Met;Missed;202895;64311
603;45;-37;10/1/2024;320;64;Small Market;East;41;Beans;Espresso;Caffe Mocha;-7;109;New Hampshire;30;60;30;90;71;Regular;Loss;;;-37;Met;Missed;202895;64311
318;60;-9;10/1/2025;-762;84;Small Market;South;54;Beans;Espresso;Caffe Latte;1;144;Louisiana;30;60;10;90;83;Regular;Profit;;;-9;Met;Missed;202895;64311
775;34;-32;10/1/2026;240;43;Small Market;West;12;Beans;Coffee;Colombian;-2;77;Nevada;40;60;30;100;45;Regular;Loss;;;-32;Met;Missed;202895;64311
503;54;-28;10/1/2027;404;66;Small Market;West;20;Beans;Espresso;Caffe Latte;12;120;Oregon;40;60;40;100;54;Regular;Profit;;;-28;Met;Missed;202895;64311
573;45;-36;10/1/2028;320;64;Small Market;Central;41;Leaves;Herbal Tea;Chamomile;-6;109;Missouri;20;60;30;80;70;Decaf;Loss;;;-36;Met;Missed;202895;64311
262;48;-15;10/1/2029;851;70;Small Market;Central;13;Leaves;Herbal Tea;Lemon;45;118;Wisconsin;30;60;60;90;25;Decaf;Profit;;;-15;Met;Missed;202895;64311
